station_id,station_name,element_name,year,month,day,obs_val
43466,COLOMBO,TMPMAX,2012,10,22,31.8
43466,COLOMBO,TMPMAX,2012,10,23,30.4
43466,COLOMBO,TMPMAX,2012,10,24,31.5
43466,COLOMBO,TMPMAX,2012,10,25,31.2
43466,COLOMBO,TMPMAX,2012,10,26,31.1
43466,COLOMBO,TMPMAX,2012,10,27,30.4
43466,COLOMBO,TMPMAX,2012,10,28,29.8
43466,COLOMBO,TMPMAX,2012,10,29,26.2
43466,COLOMBO,TMPMAX,2012,10,30,29.1
43466,COLOMBO,TMPMAX,2012,10,31,30.1
43466,COLOMBO,TMPMAX,2012,11,1,26.3
43466,COLOMBO,TMPMAX,2012,11,2,30.6
43466,COLOMBO,TMPMAX,2012,11,3,30.5
43466,COLOMBO,TMPMAX,2012,11,4,30.8
43466,COLOMBO,TMPMAX,2012,11,5,30.9
43466,COLOMBO,TMPMAX,2012,11,6,30.5
43466,COLOMBO,TMPMAX,2012,11,7,30.9
43466,COLOMBO,TMPMAX,2012,11,8,29.9
43466,COLOMBO,TMPMAX,2012,11,9,31.3
43466,COLOMBO,TMPMAX,2012,11,10,30.4
43466,COLOMBO,TMPMAX,2012,11,11,30.6
43466,COLOMBO,TMPMAX,2012,11,12,32.4
43466,COLOMBO,TMPMAX,2012,11,13,32.3
43466,COLOMBO,TMPMAX,2012,11,14,31.6
43466,COLOMBO,TMPMAX,2012,11,15,31
43466,COLOMBO,TMPMAX,2012,11,16,31.4
43466,COLOMBO,TMPMAX,2012,11,17,31.8
43466,COLOMBO,TMPMAX,2012,11,18,32
43466,COLOMBO,TMPMAX,2012,11,19,31.4
43466,COLOMBO,TMPMAX,2012,11,20,31.1
43466,COLOMBO,TMPMAX,2012,11,21,32.3
43466,COLOMBO,TMPMAX,2012,11,22,30.9
43466,COLOMBO,TMPMAX,2012,11,23,31.3
43466,COLOMBO,TMPMAX,2012,11,24,30.7
43466,COLOMBO,TMPMAX,2012,11,25,31.3
43466,COLOMBO,TMPMAX,2012,11,26,31.2
43466,COLOMBO,TMPMAX,2012,11,27,31.1
43466,COLOMBO,TMPMAX,2012,11,28,31.8
43466,COLOMBO,TMPMAX,2012,11,29,31.6
43466,COLOMBO,TMPMAX,2012,11,30,30.4
43466,COLOMBO,TMPMAX,2012,11,31,
43466,COLOMBO,TMPMAX,2012,12,1,31.7
43466,COLOMBO,TMPMAX,2012,12,2,31.8
43466,COLOMBO,TMPMAX,2012,12,3,30.7
